# C I [m**-3]	 C II [m**-3]	 C III [m**-3]	 C IV [m**-3]	 C V [m**-3]	 C VI [m**-3]	 C VII [m**-3]	 
9.883454406538891792e+07	3.918956623131812811e+08	9.274948398316121101e+08	3.054692988215643883e+09	2.588850444525230469e+12	1.192130272432440250e+15	5.930371681874876160e+17
2.343484147604083121e+08	9.292434491001684666e+08	2.199178275985944748e+09	6.665487982682502747e+09	2.610913372271381836e+12	1.192007734262390500e+15	5.930372902130881280e+17
0.000000000000000000e+00	3.689805328035931780e+02	1.513512570503886673e+04	4.209070252716096044e+08	2.571019863498062012e+12	1.191817692837933500e+15	5.930375446035735040e+17
0.000000000000000000e+00	7.105691208458246138e+02	1.645985213710890093e+04	4.208252688326489329e+08	2.570627226006041992e+12	1.191726869746412250e+15	5.930376437342092800e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.479065283719063518e+04	4.207587901999723315e+08	2.570342941752079102e+12	1.191661114702567500e+15	5.930377138917219840e+17
2.229706964191417098e+08	8.841559295545449257e+08	2.092413872062733412e+09	6.362186169286865234e+09	2.607592933662074219e+12	1.191679189162336750e+15	5.930376515277152000e+17
0.000000000000000000e+00	5.412603476291906190e+01	1.427632797382408717e+04	4.206844790565243363e+08	2.570007931413773438e+12	1.191583615799322000e+15	5.930377948836577280e+17
0.000000000000000000e+00	4.699891349522559381e+02	1.502758386702978351e+04	4.206687217019715905e+08	2.569922125564342773e+12	1.191563760364418000e+15	5.930378153457457920e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.535597008471235677e+04	4.206590472973747849e+08	2.569874678578073242e+12	1.191552782239528500e+15	5.930378266099010560e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.471057960467997327e+04	4.206533541023358107e+08	2.569859001812911621e+12	1.191549158735486250e+15	5.930378303201792000e+17
5.095742359449727833e+07	2.020668194537590444e+08	4.782132560706788301e+08	1.778531501253230572e+09	2.578431533073416504e+12	1.191567060653423000e+15	5.930378016939371520e+17
0.000000000000000000e+00	8.476066289862732219e+02	1.579097205829542327e+04	4.206706847897467017e+08	2.569918266805353027e+12	1.191562863693751750e+15	5.930378162670717440e+17
9.465302468709941208e+07	3.753318761908822060e+08	8.882543584995013475e+08	2.942891103908652306e+09	2.585899084126687988e+12	1.191609418482534500e+15	5.930377493526737920e+17
0.000000000000000000e+00	3.733197035560059476e+02	1.591422086225916973e+04	4.207162247602032423e+08	2.570133256165650391e+12	1.191612602625251000e+15	5.930377648017916160e+17
0.000000000000000000e+00	8.180462976253560328e+02	1.630594119773714920e+04	4.207595709216256738e+08	2.570328683470667480e+12	1.191657810669333250e+15	5.930377173817611520e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.432869689041410311e+04	4.208153259453511238e+08	2.570607389828521973e+12	1.191722289395774500e+15	5.930376486647576320e+17
3.076683169739986062e+08	1.219987022117908478e+09	2.887225447537979603e+09	8.619145065209156036e+09	2.622671823319314941e+12	1.191900393579748000e+15	5.930373982453276160e+17
0.000000000000000000e+00	5.354468299551143673e+02	1.469414797943661870e+04	4.210150744866980910e+08	2.571516714645726074e+12	1.191932602468093750e+15	5.930374154029835520e+17
9.050195449585150182e+07	3.588549860298274755e+08	8.492987387621511221e+08	2.832653721833411217e+09	2.587412532139597168e+12	1.192119049743251750e+15	5.930371828919605760e+17
2.681591379238341451e+08	1.063275525271967769e+09	2.516460037058805943e+09	7.566529260020993233e+09	2.618160052813088379e+12	1.192378926542085750e+15	5.930368377099951360e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.402464457587903962e+04	4.216102555850154161e+08	2.574267100427856934e+12	1.192568433396715250e+15	5.930366209685364480e+17
0.000000000000000000e+00	3.442913479295970802e+01	1.408206711658032145e+04	4.219258971905704737e+08	2.575721933188297363e+12	1.192904572021402500e+15	5.930361445970740480e+17
3.403309664938944578e+08	1.349317511773470879e+09	3.193715103879281998e+09	9.489723253839740753e+09	2.634716453956674805e+12	1.193420318657904750e+15	5.930353274638087680e+17
0.000000000000000000e+00	3.072784350478082729e+02	1.504731925188237255e+04	4.228047279236304164e+08	2.579748724304461914e+12	1.193834274101556500e+15	5.930346155872143360e+17
1.174394908815492094e+08	4.655660954082475901e+08	1.102071299497733593e+09	3.552006637032225132e+09	2.602180562632976562e+12	1.194489254853784250e+15	5.930333577433525760e+17
3.305120743032425046e+08	1.310163880329005241e+09	3.101546309403035164e+09	9.228462622098897934e+09	2.641238774534112305e+12	1.195296170855988500e+15	5.930316190239703040e+17
1.270912931228552759e+08	5.037539578903679848e+08	1.192635626212934494e+09	3.810199353381644726e+09	2.610894355784056641e+12	1.196123623047578000e+15	5.930294993895901440e+17
0.000000000000000000e+00	0.000000000000000000e+00	1.490150402423782907e+04	4.259210886765924096e+08	2.594065105760284668e+12	1.197131431408287000e+15	5.930265466112675840e+17
2.051485009426280856e+08	8.129818809393650293e+08	1.925100168356749296e+09	5.890446062422324181e+09	2.633899403930114258e+12	1.198412200178939250e+15	5.930223595194709760e+17
