# psi 	 Te[eV] 	 ne [m**-3]
-2.066079146243937278e-03	8.061315171737533092e+02	5.942318917832825242e+19
-2.089876996003898341e-03	8.061977434983047033e+02	5.942319188889808896e+19
-2.110935991370999163e-03	8.062479223848411038e+02	5.942319337371977318e+19
-2.129236837138757249e-03	8.062851456443340794e+02	5.942319416520243610e+19
-2.144760238100681862e-03	8.063120967868255775e+02	5.942319457701399757e+19
-2.157487021152387167e-03	8.063310475077443016e+02	5.942319478715379712e+19
-2.167405203806150194e-03	8.063438634973489343e+02	5.942319489280873267e+19
-2.174513871802859384e-03	8.063520025987063491e+02	5.942319494489201869e+19
-2.178813054019852757e-03	8.063565027911027983e+02	5.942319496874936730e+19
-2.180302779334471804e-03	8.063579881500845659e+02	5.942319497585846682e+19
-2.178983076624052811e-03	8.063566742392041533e+02	5.942319496958926848e+19
-2.174853974765936400e-03	8.063523701749567181e+02	5.942319494697197568e+19
-2.167915502637462327e-03	8.063444768186438978e+02	5.942319489713707418e+19
-2.158167689115967312e-03	8.063319815828933770e+02	5.942319479584057754e+19
-2.145610563078793279e-03	8.063134510778236290e+02	5.942319459418908262e+19
-2.130244153403277382e-03	8.062870229261521899e+02	5.942319419823731507e+19
-2.112068488966760676e-03	8.062503977277508511e+02	5.942319343447565107e+19
-2.091083598646579882e-03	8.062008317105963897e+02	5.942319199431966720e+19
-2.067289604930764267e-03	8.061351305569612578e+02	5.942318934855453082e+19
-2.040690733971683730e-03	8.060496579532649548e+02	5.942318462110140006e+19
-2.011296828220060333e-03	8.059403479647019140e+02	5.942317640906579149e+19
-1.979118135633027142e-03	8.058026961566472437e+02	5.942316253129687040e+19
-1.944164904167730232e-03	8.056317611335794027e+02	5.942313968720074342e+19
-1.906447381781302018e-03	8.054221679426074161e+02	5.942310300328603648e+19
-1.865975816430888359e-03	8.051681122910612203e+02	5.942304544158525030e+19
-1.822760456073622319e-03	8.048633655803596412e+02	5.942295704042857267e+19
-1.776811548666650843e-03	8.045012807747161787e+02	5.942282395406737408e+19
-1.728139342167104610e-03	8.040747991368554040e+02	5.942262725337176474e+19
-1.676754084532132297e-03	8.035764578741856212e+02	5.942234144527303475e+19
-1.622666023718863934e-03	8.029983987482353314e+02	5.942193266378625843e+19
-1.565885407684448850e-03	8.023323777079606316e+02	5.942135648034974925e+19
-1.506422655888684826e-03	8.015697779097066586e+02	5.942055527854589542e+19
-1.444293983198996316e-03	8.007017044896781499e+02	5.941945524226885222e+19
-1.379522664171598358e-03	7.997190532225063180e+02	5.941796286431105024e+19
-1.312132400812307097e-03	7.986124598588261279e+02	5.941596073050808320e+19
-1.242146895126913743e-03	7.973723173688980523e+02	5.941330270074957824e+19
-1.169589849121235522e-03	7.959887996506188301e+02	5.940980838125594214e+19
-1.094484964801063212e-03	7.944518864985757318e+02	5.940525681890874982e+19
-1.016855944172214256e-03	7.927513898701206472e+02	5.939937935473452646e+19
-9.367264892404794305e-04	7.908769814805824581e+02	5.939185157712104653e+19
-8.541203020116766142e-04	7.888182217551512849e+02	5.938228432169528525e+19
-7.690610844915947387e-04	7.865645901596597014e+02	5.937021367481856819e+19
-6.815725386860453953e-04	7.841055169265533777e+02	5.935508995240220262e+19
-5.916783666008412594e-04	7.814304161857374993e+02	5.933626564641361920e+19
-4.994024621193144135e-04	7.785287266999882831e+02	5.931298241242455245e+19
-4.047738542224873777e-04	7.753901177205166277e+02	5.928435873331814400e+19
-3.078271432759688807e-04	7.720045874263214500e+02	5.924937684996224614e+19
-2.085972089622083311e-04	7.683623542140927611e+02	5.920686728774182502e+19
-1.071189309636280597e-04	7.644538909312493615e+02	5.915549407468371968e+19
-3.427188962687059306e-06	7.602699683165328679e+02	5.909374018989062554e+19
1.024431373581934042e-04	7.558016989970587929e+02	5.901989364527051571e+19
2.104571683165532892e-04	7.510405819247648651e+02	5.893203479069306880e+19
3.205800242299721380e-04	7.459785471242765880e+02	5.882802557236277248e+19
4.327768254159893068e-04	7.406080006135133544e+02	5.870550162907113062e+19
