# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
0.000000000000000000e+00	1.200000000000000000e+03	8.000000000000000000e+13	3.140184917367553390e-14	8.203017326354125017e-07	9.999991796982367065e-01
7.989949748743719465e-03	1.199851524751360103e+03	7.999999942656000000e+13	3.132334455074134452e-14	8.204399774600988498e-07	9.999991795599919575e-01
1.597989949748743893e-02	1.199406156021759898e+03	7.999999082496031250e+13	3.175511997687937983e-14	8.208548308163165608e-07	9.999991791451380285e-01
2.396984924623115840e-02	1.198664064860159897e+03	7.999995355136770312e+13	3.179437228834647453e-14	8.215466440841958130e-07	9.999991784533247552e-01
3.195979899497487786e-02	1.197625536348160040e+03	7.999985319943696875e+13	3.151960610807681798e-14	8.225160068197556277e-07	9.999991774839621650e-01
3.994974874371859386e-02	1.196290969599999926e+03	7.999964160045875000e+13	3.167661535394519676e-14	8.237637355537672796e-07	9.999991762362333558e-01
4.793969849246231679e-02	1.194660877762559949e+03	7.999925682373253125e+13	3.124483992780715513e-14	8.252908863274694340e-07	9.999991747090829497e-01
5.592964824120603973e-02	1.192735888015359933e+03	7.999862317733020312e+13	3.171586766541228514e-14	8.270987352934755866e-07	9.999991729012335240e-01
6.391959798994975572e-02	1.190516741570560043e+03	7.999765120946323438e+13	3.155885841954391268e-14	8.291887877015660725e-07	9.999991708111813926e-01
7.190954773869347172e-02	1.188004293672960102e+03	7.999623771071429688e+13	3.222614771448451615e-14	8.315627665925854588e-07	9.999991684372018241e-01
7.989949748743718771e-02	1.185199513600000046e+03	7.999426571744051562e+13	3.171586766541228514e-14	8.342226152590255056e-07	9.999991657773537046e-01
8.788944723618091759e-02	1.182103484661759921e+03	7.999160451670417188e+13	3.183362459981356922e-14	8.371704835266389001e-07	9.999991628294854218e-01
9.587939698492463358e-02	1.178717404200960118e+03	7.998810965313270312e+13	3.187287691128066391e-14	8.404087268495236777e-07	9.999991595912419706e-01
1.038693467336683496e-01	1.175042583592959772e+03	7.998362293815832812e+13	3.257941851768836840e-14	8.439398985994542951e-07	9.999991560600693941e-01
1.118592964824120795e-01	1.171080448245759953e+03	7.997797246213423438e+13	3.324670781262897187e-14	8.477667419863592896e-07	9.999991522332254412e-01
1.198492462311557955e-01	1.166832537600000023e+03	7.997097260987187500e+13	3.273642776355674086e-14	8.518921839990391156e-07	9.999991481077838973e-01
1.278391959798995114e-01	1.162300505128960140e+03	7.996242408019157812e+13	3.352147399289862842e-14	8.563193155754534694e-07	9.999991436806515699e-01
1.358291457286432413e-01	1.157486118338560118e+03	7.995211391012525000e+13	3.367848323876700719e-14	8.610513974422699779e-07	9.999991389485693993e-01
1.438190954773869434e-01	1.152391258767359886e+03	7.993981550445812500e+13	3.414951097637214351e-14	8.660918358261683893e-07	9.999991339081306663e-01
1.518090452261306733e-01	1.147017921986559941e+03	7.992528867134339062e+13	3.414951097637214351e-14	8.714441761748244052e-07	9.999991285557904286e-01
1.597989949748743754e-01	1.141368217600000207e+03	7.990827966477106250e+13	3.638689272999652211e-14	8.771120889372898675e-07	9.999991228878754024e-01
1.677889447236181053e-01	1.135444369244159816e+03	7.988852123471970312e+13	3.674016353320037435e-14	8.830993386432079091e-07	9.999991169006253733e-01
1.757788944723618352e-01	1.129248714588160055e+03	7.986573268586684375e+13	3.721119127080550436e-14	8.894098004766966801e-07	9.999991105901631094e-01
1.837688442211055373e-01	1.122783705333760054e+03	7.983961994578206250e+13	3.772147131987773538e-14	8.960474168820946355e-07	9.999991039525460979e-01
1.917587939698492672e-01	1.116051907215359961e+03	7.980987564357254688e+13	3.799623750014739192e-14	9.030161896716552404e-07	9.999990969837729837e-01
1.997487437185929970e-01	1.109056000000000040e+03	7.977617920000000000e+13	3.815324674601577069e-14	9.103201526579538425e-07	9.999990896798097717e-01
2.077386934673366992e-01	1.101798777487359985e+03	7.973819693013382812e+13	3.905604990975894233e-14	9.179633558446489629e-07	9.999990820366057021e-01
2.157286432160804290e-01	1.094283147509760056e+03	7.969558215965365625e+13	3.988034845056792459e-14	9.259498405900857724e-07	9.999990740501202291e-01
2.237185929648241589e-01	1.086512131932159946e+03	7.964797535596117188e+13	3.976259151616664051e-14	9.342836165881438519e-07	9.999990657163442265e-01
2.317085427135678610e-01	1.078488866652160141e+03	7.959500427530864062e+13	4.035137618817306091e-14	9.429686278184254964e-07	9.999990570313326277e-01
2.396984924623115909e-01	1.070216601599999876e+03	7.953628412719923438e+13	4.384483190874446338e-14	9.520087385537815523e-07	9.999990479912180819e-01
2.476884422110552930e-01	1.061698700738560092e+03	7.947141775736117188e+13	4.400184115461284216e-14	9.614076735933366339e-07	9.999990385922830072e-01
2.556783919597990229e-01	1.052938642063360021e+03	7.939999585064515625e+13	4.466913044955344564e-14	9.711690255909186561e-07	9.999990288309305031e-01
2.636683417085427528e-01	1.043940017602560147e+03	7.932159715524207812e+13	4.576819517063209074e-14	9.812961964438162509e-07	9.999990187037585132e-01
2.716582914572864826e-01	1.034706533416959928e+03	7.923578872966517188e+13	4.608221366236884198e-14	9.917923703585960934e-07	9.999990082075842501e-01
2.796482412060301570e-01	1.025242009600000074e+03	7.914212621398834375e+13	4.671025064584235707e-14	1.002660466179979363e-06	9.999989973394876053e-01
2.876381909547738869e-01	1.015550380277760041e+03	7.904015412687940625e+13	4.749529687518424463e-14	1.013903111538988560e-06	9.999989860968416799e-01
2.956281407035176167e-01	1.005635693608959969e+03	7.892940619001457812e+13	5.043922023521632771e-14	1.025522599971561923e-06	9.999989744773501998e-01
3.036180904522613466e-01	9.955021117849598795e+02	7.880940568150814062e+13	5.153828495629496651e-14	1.037521075630635217e-06	9.999989624788734321e-01
3.116080402010050765e-01	9.851539110297600246e+02	7.867966582003779688e+13	5.216632193976848160e-14	1.049906989383851131e-06	9.999989500929591379e-01
3.195979899497487509e-01	9.745954816000001983e+02	7.853969018139442188e+13	5.299062048057746386e-14	1.062696708763017790e-06	9.999989373032387441e-01
3.275879396984924807e-01	9.638313277849599672e+02	7.838897314923190625e+13	5.495323605393217960e-14	1.075908976150822576e-06	9.999989240909694654e-01
3.355778894472362106e-01	9.528660679065599197e+02	7.822700040183978125e+13	5.832893484010229799e-14	1.089564766161822257e-06	9.999989104351761915e-01
3.435678391959799405e-01	9.417044343193600753e+02	7.805324943680959375e+13	5.950650418411513880e-14	1.103687394704028932e-06	9.999988963125463481e-01
3.515577889447236704e-01	9.303512734105599975e+02	7.786719013551234375e+13	6.088033508546343414e-14	1.118302745965298923e-06	9.999988816971938643e-01
3.595477386934674002e-01	9.188115455999999313e+02	7.766828536935218750e+13	6.256818447854849964e-14	1.133439390515068428e-06	9.999988665605475946e-01
3.675376884422110746e-01	9.070903253401601205e+02	7.745599164980893750e+13	6.645416331379084274e-14	1.149128775787280937e-06	9.999988508711583624e-01
3.755276381909548045e-01	8.951928011161601262e+02	7.722975982432935938e+13	6.774948959220496132e-14	1.165405364948790055e-06	9.999988345945680646e-01
