# R [m]	 Z [m]
2.999999999999999889e-01	-4.000000000000000222e-01
3.016722408026755731e-01	-3.973244147157191097e-01
3.033444816053511572e-01	-3.946488294314381418e-01
3.050167224080267414e-01	-3.919732441471572293e-01
3.066889632107023256e-01	-3.892976588628762613e-01
3.083612040133779097e-01	-3.866220735785953488e-01
3.100334448160534939e-01	-3.839464882943143809e-01
3.117056856187290781e-01	-3.812709030100334684e-01
3.133779264214046623e-01	-3.785953177257525004e-01
3.150501672240802464e-01	-3.759197324414715879e-01
3.167224080267558306e-01	-3.732441471571906755e-01
3.183946488294314148e-01	-3.705685618729097075e-01
3.200668896321069989e-01	-3.678929765886287950e-01
3.217391304347825831e-01	-3.652173913043478271e-01
3.234113712374581673e-01	-3.625418060200669146e-01
3.250836120401337515e-01	-3.598662207357860021e-01
3.267558528428093356e-01	-3.571906354515050341e-01
3.284280936454849198e-01	-3.545150501672240662e-01
3.301003344481605040e-01	-3.518394648829431537e-01
3.317725752508360881e-01	-3.491638795986622412e-01
3.334448160535116723e-01	-3.464882943143812732e-01
3.351170568561872565e-01	-3.438127090301003608e-01
3.367892976588628406e-01	-3.411371237458193928e-01
3.384615384615384803e-01	-3.384615384615384803e-01
3.401337792642140645e-01	-3.357859531772575679e-01
3.418060200668896487e-01	-3.331103678929765999e-01
3.434782608695652328e-01	-3.304347826086956319e-01
3.451505016722408170e-01	-3.277591973244147194e-01
3.468227424749164012e-01	-3.250836120401338070e-01
3.484949832775919853e-01	-3.224080267558528390e-01
3.501672240802675695e-01	-3.197324414715719265e-01
3.518394648829431537e-01	-3.170568561872909585e-01
3.535117056856187379e-01	-3.143812709030100461e-01
3.551839464882943220e-01	-3.117056856187291336e-01
3.568561872909699062e-01	-3.090301003344481656e-01
3.585284280936454904e-01	-3.063545150501672532e-01
3.602006688963210745e-01	-3.036789297658862852e-01
3.618729096989966587e-01	-3.010033444816053727e-01
3.635451505016722429e-01	-2.983277591973244602e-01
3.652173913043478271e-01	-2.956521739130434923e-01
3.668896321070234112e-01	-2.929765886287625243e-01
3.685618729096989954e-01	-2.903010033444816118e-01
3.702341137123745796e-01	-2.876254180602006993e-01
3.719063545150501637e-01	-2.849498327759197314e-01
3.735785953177257479e-01	-2.822742474916388189e-01
3.752508361204013321e-01	-2.795986622073578509e-01
3.769230769230769162e-01	-2.769230769230769384e-01
3.785953177257525004e-01	-2.742474916387960260e-01
3.802675585284280846e-01	-2.715719063545150580e-01
3.819397993311036688e-01	-2.688963210702340900e-01
3.836120401337792529e-01	-2.662207357859531776e-01
3.852842809364548371e-01	-2.635451505016722651e-01
3.869565217391304213e-01	-2.608695652173912971e-01
3.886287625418060054e-01	-2.581939799331103846e-01
3.903010033444815896e-01	-2.555183946488294167e-01
3.919732441471571738e-01	-2.528428093645485042e-01
3.936454849498327579e-01	-2.501672240802675917e-01
3.953177257525083421e-01	-2.474916387959866237e-01
3.969899665551839263e-01	-2.448160535117056835e-01
3.986622073578595105e-01	-2.421404682274247433e-01
4.003344481605350946e-01	-2.394648829431438308e-01
4.020066889632106788e-01	-2.367892976588628906e-01
4.036789297658862630e-01	-2.341137123745819504e-01
4.053511705685618471e-01	-2.314381270903010102e-01
4.070234113712374313e-01	-2.287625418060200699e-01
4.086956521739130155e-01	-2.260869565217391297e-01
4.103678929765885997e-01	-2.234113712374581895e-01
4.120401337792641838e-01	-2.207357859531772493e-01
4.137123745819397680e-01	-2.180602006688963090e-01
4.153846153846153522e-01	-2.153846153846153966e-01
4.170568561872909363e-01	-2.127090301003344563e-01
4.187290969899665205e-01	-2.100334448160535161e-01
4.204013377926421047e-01	-2.073578595317725759e-01
